label,k,seed,n_fail,p_is,p_ref,ess,cv,max_share,n_star_is,n_star_naive,speedup,sensitive_pcs,status
k500_s9,500,9,16,0.03139205657620423,0.028666666666666667,283.85428691268385,0.3192168989658722,0.00037847238255024515,1138.9668118689551,4235.46511627907,3.7186905466797615,"[0, 1, 4, 3, 6, 8, 5]",ok
k500_s10,500,10,12,0.025700871183389727,0.028666666666666667,294.0428320147493,0.3329736294403543,0.000392057109352999,1725.735108177462,4235.46511627907,2.4542961988831054,"[0, 6, 3, 5, 178, 4, 2]",ok
k500_s11,500,11,12,0.03242359660504478,0.028666666666666667,287.0074387224338,0.3340034852414617,0.0003826765849533109,1107.219080372087,4235.46511627907,3.8253180344902638,"[3, 0, 7, 5, 2, 4, 1]",ok
k500_s12,500,12,19,0.019830778006349005,0.028666666666666667,296.89045689386074,0.32372566391158647,0.0003958539421700046,2291.0287526186935,4235.46511627907,1.8487175734646915,"[0, 7, 75, 255, 1, 2, 212]",ok
k500_s13,500,13,13,0.032487940708516086,0.028666666666666667,289.3014365607555,0.3328540694028106,0.0003857352487476653,1435.3751740418998,4235.46511627907,2.9507721694477578,"[0, 5, 3, 1, 223, 6, 54]",ok
k500_s14,500,14,13,0.029151538101976134,0.028666666666666667,302.0681116097305,0.37016409044702653,0.0004027574821463073,1296.9756070930741,4235.46511627907,3.2656474748758497,"[0, 3, 4, 2, 6, 5, 1]",ok
k500_s15,500,15,11,0.03438237073996281,0.028666666666666667,278.12978791000177,0.29456705670502004,0.00037083971721333574,1663.9029057452624,4235.46511627907,2.545500162091492,"[0, 4, 8, 3, 6, 5, 1]",ok
k500_s16,500,16,7,0.02894580432808654,0.028666666666666667,286.874181715534,0.3202800820862326,0.0003824989089540424,2190.3817236186155,4235.46511627907,1.9336652924960853,"[0, 3, 1, 5, 7, 6, 193]",ok
k500_s17,500,17,9,0.03098921426060522,0.028666666666666667,292.0468637395033,0.33695576059650056,0.0003893958183191845,1548.3797764697376,4235.46511627907,2.7354174864875924,"[0, 4, 5, 2, 1, 31, 125]",ok
k500_s18,500,18,17,0.02388783431783523,0.028666666666666667,288.6585694489524,0.3233857226208826,0.0003848780925986028,1200.8818104120223,4235.46511627907,3.526962503350669,"[0, 4, 1, 8, 6, 3, 5]",ok
k500_s19,500,19,21,0.02933693711772461,0.028666666666666667,286.4621601759095,0.32549236762479583,0.00038194954690081107,1404.9249424171892,4235.46511627907,3.014726971102032,"[0, 4, 3, 1, 6, 259, 8]",ok
k500_s20,500,20,13,0.028524318094049442,0.028666666666666667,298.0640386901407,0.36015036937918565,0.0003974187182535088,2179.558566681597,4235.46511627907,1.9432674033291129,"[3, 2, 4, 0, 8, 185, 7]",ok
k500_s21,500,21,14,0.03156864985453611,0.028666666666666667,297.7709258850142,0.3370697406333929,0.00039702790114375217,2761.4711697598555,4235.46511627907,1.53377126028348,"[0, 4, 3, 183, 243, 29, 164]",ok
k500_s22,500,22,15,0.029778528605720465,0.028666666666666667,293.9825792845312,0.3375232767908263,0.0003919767723766576,2216.2836629849726,4235.46511627907,1.9110663436351776,"[3, 2, 4, 5, 0, 49, 7]",ok
k500_s23,500,23,7,0.024047283320721723,0.028666666666666667,279.08716284428937,0.2877249254085593,0.0003721162171257189,2497.55804811262,4235.46511627907,1.695842512841601,"[0, 6, 3, 1, 168, 267, 111]",ok
k500_s24,500,24,12,0.03223466314105956,0.028666666666666667,297.59324614986474,0.3612234959514233,0.0003967909948664864,1161.0816846222601,4235.46511627907,3.6478614488325274,"[4, 3, 6, 0, 2, 5, 7]",ok
k500_s25,500,25,5,0.031835551222611044,0.028666666666666667,274.6908674491021,0.26211003865644306,0.0003662544899321241,2092.1924865877786,4235.46511627907,2.0244146479977188,"[3, 4, 5, 0, 1, 8, 2]",ok
